date,open,high,low,close,volume
10/6/2016,125.15,125.49,124.41,124.94,387908
10/7/2016,124.86,124.87,123.45,124.14,276267
10/10/2016,124.94,125,123.17,123.23,362474
10/11/2016,123.22,123.3,121.22,121.81,874094
10/12/2016,119,119.29,117.74,117.8,1040262
10/13/2016,117.39,117.39,114.45,116.13,868681
10/14/2016,116.69,117.9899,116.2,116.74,491044
10/17/2016,116.79,117.28,116.14,116.4,318095
10/18/2016,117.28,118.55,116.66,117.56,537673
10/19/2016,117.34,120.4193,116.06,118.75,1162924
10/20/2016,118.72,119.1,117.43,118.09,594091
10/21/2016,117.64,119.33,116.88,118.07,902294
10/24/2016,118.95,119.86,118.04,118.76,656371
10/25/2016,118.46,119.35,116.5,117.22,633000
10/26/2016,117.22,120.74,117.22,119.54,856243
10/27/2016,129.9,133,127.5,130.99,5094395
10/28/2016,131.27,135.92,130.9,134.66,1857776
10/31/2016,134.92,138.55,134.32,138.21,1452197
11/1/2016,137.47,138.21,135.74,136.98,1544882
11/2/2016,135.55,137.27,134.01,135.32,1323182
11/3/2016,134.6,139.08,134.42,137.81,1610263
11/4/2016,137.65,137.94,135.7,135.73,1060202
11/7/2016,137.5,138.37,135.95,136.45,972409
11/8/2016,136.67,137.99,135.73,137.77,486644
11/9/2016,136.72,140.97,136,140.23,1074648
11/10/2016,140.42,141.83,138.24,139.85,1053960
11/11/2016,139.1,141.37,138.001,141.15,779579
11/14/2016,141.43,143.2,141.22,141.95,780362
11/15/2016,143.17,144,142.27,143.44,882895
11/16/2016,142.91,144,140.99,142.7,688980
11/17/2016,141.44,144.04,140.9,143.91,841172
11/18/2016,143.43,144.2809,141.32,142.01,859616
11/21/2016,142.61,143.94,141.85,143.77,782088
11/22/2016,143.99,144.06,142.61,143.75,617976
11/23/2016,144,144.11,142.78,143.9,424280
11/25/2016,143.66,144.14,142.86,144.12,238048
11/28/2016,143.35,144,142.47,142.61,385235
11/29/2016,142.9,143.93,142.57,142.81,336159
11/30/2016,141.96,142.85,139.5,140.75,800300
12/1/2016,141.12,141.95,138.48,139.36,901131
12/2/2016,138.79,139.335,136.97,138.99,595363
12/5/2016,139.58,140.95,138.48,140.33,667132
12/6/2016,141.31,141.895,139.59,140.86,454538
12/7/2016,140.43,141.25,138.55,141.16,758219
12/8/2016,141.72,144.32,141.54,142.83,569630
12/9/2016,142.65,143.155,141.6001,142.54,416468
12/12/2016,142.34,142.89,140.28,141.22,687475
12/13/2016,141.9,143.085,140.66,142.36,509797
12/14/2016,144.94,147.25,143.69,144.08,1156354
12/15/2016,144.65,146.64,143.43,145.54,675521
12/16/2016,144.93,145.38,143.76,144.64,1090293
12/19/2016,144.73,145.57,144.32,145.15,374133
12/20/2016,145.81,147.23,145.74,146.56,446651
12/21/2016,146.66,148.34,145.76,146.11,398998
12/22/2016,146.34,147.74,143.911,144.24,511134
12/23/2016,144.39,145.56,144.003,145.45,247692
12/27/2016,145.64,146.88,144.759,145.33,273835
12/28/2016,145.18,145.96,143.95,144.06,269938
12/29/2016,144.39,145.88,144.02,144.92,398196
12/30/2016,144.96,145.4999,144.09,144.72,366586
1/3/2017,145.65,145.87,143.76,144.8,521546
1/4/2017,144.91,146.72,144.29,145.46,459822
1/5/2017,145.13,146.98,143.92,144.42,500949
1/6/2017,144.29,145.37,143.88,144.45,461519
1/9/2017,144.01,144.29,142.07,144.15,814092
1/10/2017,144.63,145,143.98,144.24,523282
1/11/2017,144,144.99,143.5,144.03,465498
1/12/2017,143.82,144.67,141.8,142.99,425478
1/13/2017,143.56,144.68,142.74,143.37,451617
1/17/2017,142.87,143.5,140.75,141.63,718626
1/18/2017,141.5,143.23,141.45,142.84,659883
1/19/2017,143.17,144.1934,141.925,142.54,589449
1/20/2017,142.97,143.39,141.88,142.1,434368
1/23/2017,142.08,142.85,140.275,141.14,669711
1/24/2017,141.54,144.61,141.28,144.15,594677
1/25/2017,144.96,145.89,143.27,145.75,1222744
1/26/2017,139.3,139.87,132.58,133.72,2725193
1/27/2017,133.28,138.27,133.28,135.54,1342655
1/30/2017,135.06,135.58,133.75,134.69,838859
1/31/2017,132.6,135.49,132.51,134.03,985482
2/1/2017,134.07,134.09,131.54,132.34,1292752
2/2/2017,130.8,134.79,130.61,134.45,1159597
2/3/2017,134.4,136.52,134.4,136.23,969780
2/6/2017,135.54,136.99,135.01,136.68,959985
2/7/2017,137,138.59,136.78,138.57,782365
2/8/2017,138.13,139.49,137.86,138.88,734873
2/9/2017,139.14,140.69,139.14,139.73,714488
2/10/2017,140,140.25,139.01,139.69,574195
2/13/2017,140.09,141.88,139.45,140.47,1021827
2/14/2017,140.43,141.22,140.18,141.1,580652
2/15/2017,141.3,143.57,140.685,143.13,870111
2/16/2017,143.34,143.785,141.66,143.24,463348
2/17/2017,142.87,143.63,141.93,143.35,512244
